NUMBER,BILL_LINK,TITLE,FILED_BY,LAST_ACTION_AND_LOCATION
SB 1406,https://www.flsenate.gov/Session/Bill/2019/01406,Expressway Tolls,Flores,Last Action: 3/5/2019 S Introduced -SJ 139
SB 1408,https://www.flsenate.gov/Session/Bill/2019/01408,Opportunity Zones,Powell,Last Action: 3/5/2019 S Introduced -SJ 139
SB 1410,https://www.flsenate.gov/Session/Bill/2019/01410,Hope Scholarship Program,Diaz,Last Action: 3/5/2019 S Introduced -SJ 139
SB 1412,https://www.flsenate.gov/Session/Bill/2019/01412,Sales Tax Holiday for Disaster Preparedness Supplies,Gruters,Last Action: 4/9/2019 S Now in Appropriations
SB 1414,https://www.flsenate.gov/Session/Bill/2019/01414,Public Records/Trade Secrets Held by an Agency,Gruters,Last Action: 4/2/2019 S CS by Commerce and Tourism read 1st time -SJ 297
SB 1416,https://www.flsenate.gov/Session/Bill/2019/01416,Public Records,Gruters,Last Action: 4/2/2019 S CS by Commerce and Tourism read 1st time -SJ 297
SB 1418,https://www.flsenate.gov/Session/Bill/2019/01418,Mental Health,Powell,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 1420,https://www.flsenate.gov/Session/Bill/2019/01420,Insulation Products,Gruters,Last Action: 4/10/2019 S CS/CS by Commerce and Tourism read 1st time -SJ 345
SB 1422,https://www.flsenate.gov/Session/Bill/2019/01422,Health Plans,Gruters,Last Action: 3/26/2019 S Now in Rules
SB 1424,https://www.flsenate.gov/Session/Bill/2019/01424,Small Business Microfinancing,Powell,Last Action: 3/5/2019 S Introduced -SJ 141
SB 1426,https://www.flsenate.gov/Session/Bill/2019/01426,Victim Rights,Book,Last Action: 3/5/2019 S Introduced -SJ 142
SB 1428,https://www.flsenate.gov/Session/Bill/2019/01428,Disposition of Surplus Funds by Candidates,Perry,Last Action: 4/2/2019 S Now in Rules
SB 1430,https://www.flsenate.gov/Session/Bill/2019/01430,Vacation and Timeshare Plans,Hutson,Last Action: 3/5/2019 S Introduced -SJ 142
SB 1432,https://www.flsenate.gov/Session/Bill/2019/01432,Foster Parents,Baxley,"Last Action: 4/10/2019 S CS by Children, Families, and Elder Affairs read 1st time -SJ 345"
SB 1434,https://www.flsenate.gov/Session/Bill/2019/01434,Florida Education Finance Program,Diaz,Last Action: 3/5/2019 S Introduced -SJ 142
SB 1436,https://www.flsenate.gov/Session/Bill/2019/01436,Closing the Gap Grant Proposals,Gibson,Last Action: 4/11/2019 S CS by- Appropriations; YEAS 19 NAYS 0
SR 1438,https://www.flsenate.gov/Session/Bill/2019/01438,Taiwan,Torres,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 1440,https://www.flsenate.gov/Session/Bill/2019/01440,Public Swimming Pools,Farmer,Last Action: 3/27/2019 S Now in Community Affairs
SB 1442,https://www.flsenate.gov/Session/Bill/2019/01442,Homeowner Association Recalls,Torres,Last Action: 3/5/2019 S Introduced -SJ 143
SB 1444,https://www.flsenate.gov/Session/Bill/2019/01444,Education,Diaz,Last Action: 4/9/2019 S Now in Appropriations
SB 1446,https://www.flsenate.gov/Session/Bill/2019/01446,Criminal Justice,Rouson,Last Action: 3/5/2019 S Introduced -SJ 143
SB 1448,https://www.flsenate.gov/Session/Bill/2019/01448,Florida Transportation Commission,Gruters,Last Action: 3/5/2019 S Introduced -SJ 143
SB 1450,https://www.flsenate.gov/Session/Bill/2019/01450,Pension of Retired Deputy Scot Peterson,Gruters,Last Action: 3/5/2019 S Introduced -SJ 144
SB 1452,https://www.flsenate.gov/Session/Bill/2019/01452,Prescription Drug Importation Programs,Gruters,Last Action: 3/5/2019 S Introduced -SJ 144
SB 1454,https://www.flsenate.gov/Session/Bill/2019/01454,Instructional Materials,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 144
SB 1456,https://www.flsenate.gov/Session/Bill/2019/01456,Office of Early Learning,Perry,Last Action: 4/9/2019 S Now in Appropriations
SB 1458,https://www.flsenate.gov/Session/Bill/2019/01458,Public Records/Redistricting Plans,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 144
SB 1460,https://www.flsenate.gov/Session/Bill/2019/01460,Stroke Centers,Book,Last Action: 4/11/2019 S Now in Appropriations
SB 1462,https://www.flsenate.gov/Session/Bill/2019/01462,Education,Diaz,Last Action: 3/26/2019 S Now in Rules
SB 1464,https://www.flsenate.gov/Session/Bill/2019/01464,Fair Settlement Act,Brandes,"Last Action: 3/18/2019 S On Committee agenda-- Banking and Insurance, 03/18/19, 4:00 pm, 412 Knott Building --Not Considered"
SB 1466,https://www.flsenate.gov/Session/Bill/2019/01466,Protection of Vulnerable Investors,Gibson,Last Action: 4/3/2019 S CS by Banking and Insurance read 1st time -SJ 317
SB 1468,https://www.flsenate.gov/Session/Bill/2019/01468,Personal Online Accounts,Farmer,Last Action: 3/13/2019 S Introduced -SJ 197
SB 1470,https://www.flsenate.gov/Session/Bill/2019/01470,Charter Schools,Diaz,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 1472,https://www.flsenate.gov/Session/Bill/2019/01472,Education,Diaz,Last Action: 3/26/2019 S Now in Appropriations Subcommittee on Education
SB 1474,https://www.flsenate.gov/Session/Bill/2019/01474,Workforce Retention,Torres,Last Action: 3/13/2019 S Introduced -SJ 197
SB 1476,https://www.flsenate.gov/Session/Bill/2019/01476,Citizens Property Insurance Corporation,Flores,Last Action: 4/3/2019 S Now in Rules
SB 1478,https://www.flsenate.gov/Session/Bill/2019/01478,Inspectors General,Brandes,Last Action: 3/13/2019 S Introduced -SJ 197
SB 1480,https://www.flsenate.gov/Session/Bill/2019/01480,Civics Education,Stargel,Last Action: 4/3/2019 S CS by Education read 1st time -SJ 317
SB 1482,https://www.flsenate.gov/Session/Bill/2019/01482,Department of Highway Safety and Motor Vehicles,Stargel,Last Action: 3/13/2019 S Introduced -SJ 198
SB 1484,https://www.flsenate.gov/Session/Bill/2019/01484,Valuations of Acquired Water and Wastewater Systems,Torres,Last Action: 3/13/2019 S Introduced -SJ 198
SB 1486,https://www.flsenate.gov/Session/Bill/2019/01486,Health Care Coverage,Torres,Last Action: 3/13/2019 S Introduced -SJ 198
SB 1488,https://www.flsenate.gov/Session/Bill/2019/01488,Whistleblower’s Act,Brandes,Last Action: 3/13/2019 S Introduced -SJ 199
SB 1490,https://www.flsenate.gov/Session/Bill/2019/01490,First Responder Property Tax Exemption,Simmons,Last Action: 3/20/2019 S Now in Finance and Tax
SB 1492,https://www.flsenate.gov/Session/Bill/2019/01492,Government-sponsored Recreation Programs,Book,"Last Action: 4/10/2019 S CS by Children, Families, and Elder Affairs read 1st time -SJ 345"
SB 1494,https://www.flsenate.gov/Session/Bill/2019/01494,Small-scale Comprehensive Plan Amendments,Perry,Last Action: 4/9/2019 S Now in Rules
SB 1496,https://www.flsenate.gov/Session/Bill/2019/01496,Contraband Forfeiture,Diaz,Last Action: 3/13/2019 S Introduced -SJ 200
SB 1498,https://www.flsenate.gov/Session/Bill/2019/01498,Access to Health Care Practitioner Services,Lee,Last Action: 3/13/2019 S Introduced -SJ 200
SB 1500,https://www.flsenate.gov/Session/Bill/2019/01500,Right of Entry,Simmons,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 17 NAYS 0
SB 1502,https://www.flsenate.gov/Session/Bill/2019/01502,Department of Environmental Protection,Bradley,Last Action: 4/10/2019 S Now in Appropriations
SB 1504,https://www.flsenate.gov/Session/Bill/2019/01504,Housing Trust Funds,Berman,Last Action: 3/13/2019 S Introduced -SJ 200
SB 1506,https://www.flsenate.gov/Session/Bill/2019/01506,Education,Lee,Last Action: 3/13/2019 S Introduced -SJ 200
SB 1508,https://www.flsenate.gov/Session/Bill/2019/01508,Neighborhood Improvement Districts,Simmons,Last Action: 4/3/2019 S Now in Appropriations Subcommittee on Criminal and Civil Justice
SB 1510,https://www.flsenate.gov/Session/Bill/2019/01510,Trust Funds/Safe Neighborhood Improvement District Revolving Loan Trust Fund/Department of Legal Affairs,Simmons,Last Action: 4/3/2019 S CS by Community Affairs read 1st time -SJ 317
SB 1512,https://www.flsenate.gov/Session/Bill/2019/01512,Fees for Enforcing the Florida Building Code,Diaz,Last Action: 4/9/2019 S Now in Commerce and Tourism
SB 1514,https://www.flsenate.gov/Session/Bill/2019/01514,Medical Billing,Albritton,Last Action: 3/13/2019 S Introduced -SJ 201
SB 1516,https://www.flsenate.gov/Session/Bill/2019/01516,Criminal Sentencing,Bracy,Last Action: 3/13/2019 S Introduced -SJ 201
SB 1518,https://www.flsenate.gov/Session/Bill/2019/01518,Alternative Treatment Options for Veterans,Wright,Last Action: 4/11/2019 S Now in Appropriations
SB 1520,https://www.flsenate.gov/Session/Bill/2019/01520,Direct Health Care Agreements,Bean,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 1522,https://www.flsenate.gov/Session/Bill/2019/01522,Postsecondary Educational Institutions,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 201
SB 1524,https://www.flsenate.gov/Session/Bill/2019/01524,Agency for Persons with Disabilities,Wright,Last Action: 3/13/2019 S Introduced -SJ 202
SB 1526,https://www.flsenate.gov/Session/Bill/2019/01526,Telehealth,Harrell,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 1528,https://www.flsenate.gov/Session/Bill/2019/01528,Canadian Prescription Drug Importation Program,Bean,Last Action: 4/11/2019 S Now in Appropriations
SB 1530,https://www.flsenate.gov/Session/Bill/2019/01530,Vessels,Rouson,Last Action: 4/8/2019 S Now in Rules
SB 1532,https://www.flsenate.gov/Session/Bill/2019/01532,Local Regulation of Firearms and Ammunition,Rouson,Last Action: 3/13/2019 S Introduced -SJ 202
SB 1534,https://www.flsenate.gov/Session/Bill/2019/01534,Assistance for Micro Businesses,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 203
SB 1536,https://www.flsenate.gov/Session/Bill/2019/01536,Civil Remedies for Criminal Practices,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 203
SB 1538,https://www.flsenate.gov/Session/Bill/2019/01538,Heat Illness Prevention,Torres,Last Action: 3/13/2019 S Introduced -SJ 203
SB 1540,https://www.flsenate.gov/Session/Bill/2019/01540,Recovery Care Services,Lee,Last Action: 3/13/2019 S Introduced -SJ 203
SB 1542,https://www.flsenate.gov/Session/Bill/2019/01542,Government Integrity,Hutson,Last Action: 3/13/2019 S Introduced -SJ 203
SB 1544,https://www.flsenate.gov/Session/Bill/2019/01544,Data Innovation,Harrell,Last Action: 3/13/2019 S Introduced -SJ 203
SB 1546,https://www.flsenate.gov/Session/Bill/2019/01546,Florida Minority Health Council,Rouson,Last Action: 3/13/2019 S Introduced -SJ 204
SB 1548,https://www.flsenate.gov/Session/Bill/2019/01548,Death Benefits,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 204
SB 1550,https://www.flsenate.gov/Session/Bill/2019/01550,Judicial Candidate Qualifying,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 204
SB 1552,https://www.flsenate.gov/Session/Bill/2019/01552,Florida Red Tide Mitigation and Technology Development Initiative,Gruters,Last Action: 4/10/2019 S Now in Appropriations
SB 1554,https://www.flsenate.gov/Session/Bill/2019/01554,Regulation of Oil and Gas Resources,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 204
SB 1556,https://www.flsenate.gov/Session/Bill/2019/01556,Defamation,Powell,Last Action: 3/13/2019 S Introduced -SJ 204
SB 1558,https://www.flsenate.gov/Session/Bill/2019/01558,Fees/State Hemp Program Registration,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 204
SB 1560,https://www.flsenate.gov/Session/Bill/2019/01560,Price Transparency in Contracts,Flores,"Last Action: 4/1/2019 S On Committee agenda-- Banking and Insurance, 04/01/19, 4:00 pm, 412 Knott Building --Temporarily Postponed"
SB 1562,https://www.flsenate.gov/Session/Bill/2019/01562,Exceptions to Requirements for the Purchase and Sale of Firearms,Gruters,Last Action: 3/13/2019 S Introduced -SJ 205
SB 1564,https://www.flsenate.gov/Session/Bill/2019/01564,Petroleum Cleanup,Albritton,Last Action: 3/13/2019 S Introduced -SJ 205
SB 1566,https://www.flsenate.gov/Session/Bill/2019/01566,Enforcement of Federal Laws,Torres,Last Action: 3/13/2019 S Introduced -SJ 205
SB 1568,https://www.flsenate.gov/Session/Bill/2019/01568,Discharge of Domestic Wastewater,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 205
SB 1570,https://www.flsenate.gov/Session/Bill/2019/01570,Information Technology Reorganization,Hooper,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Agriculture, Environment, and General Government, 04/16/19, 9:00 am, 110 Senate Building"
SB 1572,https://www.flsenate.gov/Session/Bill/2019/01572,Displacement of Private Waste Companies,Albritton,"Last Action: 4/2/2019 S On Committee agenda-- Community Affairs, 04/02/19, 2:00 pm, 301 Senate Building --Temporarily Postponed"
SB 1574,https://www.flsenate.gov/Session/Bill/2019/01574,Suspension or Revocation of Driver Licenses,Cruz,Last Action: 3/13/2019 S Introduced -SJ 206
SB 1576,https://www.flsenate.gov/Session/Bill/2019/01576,Education,Lee,Last Action: 3/13/2019 S Introduced -SJ 206
SB 1578,https://www.flsenate.gov/Session/Bill/2019/01578,Criminal History Records,Taddeo,Last Action: 3/13/2019 S Introduced -SJ 206
SB 1580,https://www.flsenate.gov/Session/Bill/2019/01580,Workplace Sexual Harassment,Book,Last Action: 3/13/2019 S Introduced -SJ 206
SB 1582,https://www.flsenate.gov/Session/Bill/2019/01582,Pro Se Assistance,Broxson,Last Action: 3/13/2019 S Introduced -SJ 207
SB 1584,https://www.flsenate.gov/Session/Bill/2019/01584,Other-personal-services Employees,Montford,Last Action: 3/13/2019 S Introduced -SJ 207
SB 1586,https://www.flsenate.gov/Session/Bill/2019/01586,Tax Exemption for Use of Real Property,Gruters,Last Action: 3/13/2019 S Introduced -SJ 207
SB 1588,https://www.flsenate.gov/Session/Bill/2019/01588,Enhancing Florida’s Workforce,Diaz,Last Action: 3/13/2019 S Introduced -SJ 207
SB 1590,https://www.flsenate.gov/Session/Bill/2019/01590,Native Language Assessments,Taddeo,Last Action: 3/13/2019 S Introduced -SJ 207
SB 1592,https://www.flsenate.gov/Session/Bill/2019/01592,Assisted Living Facilities,Harrell,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 1594,https://www.flsenate.gov/Session/Bill/2019/01594,Voluntary Prekindergarten Education Program,Harrell,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 1596,https://www.flsenate.gov/Session/Bill/2019/01596,Family Law,Harrell,Last Action: 3/13/2019 S Introduced -SJ 208
SB 1598,https://www.flsenate.gov/Session/Bill/2019/01598,Student Assessments,Torres,Last Action: 3/13/2019 S Introduced -SJ 208
SB 1600,https://www.flsenate.gov/Session/Bill/2019/01600,Homestead Exemption for Disabled First Responders,Torres,Last Action: 3/13/2019 S Introduced -SJ 208
SB 1602,https://www.flsenate.gov/Session/Bill/2019/01602,Cancer Clinical Trials,Simmons,Last Action: 3/13/2019 S Introduced -SJ 208
SB 1604,https://www.flsenate.gov/Session/Bill/2019/01604,Licensure of Child Care Programs,Torres,Last Action: 3/13/2019 S Introduced -SJ 209
SB 1606,https://www.flsenate.gov/Session/Bill/2019/01606,Long-term Care Facility Residents,Torres,Last Action: 3/13/2019 S Introduced -SJ 209
SB 1608,https://www.flsenate.gov/Session/Bill/2019/01608,Funding for Nonprofit Coordinating Entities,Baxley,Last Action: 3/13/2019 S Introduced -SJ 209
SB 1610,https://www.flsenate.gov/Session/Bill/2019/01610,Emergency Mitigation and Response,Montford,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Transportation, Tourism, and Economic Development, 04/16/19, 1:00 pm, 110 Senate Building"
SB 1612,https://www.flsenate.gov/Session/Bill/2019/01612,Prison Industry Programs,Baxley,Last Action: 4/2/2019 S Now in Rules
SB 1614,https://www.flsenate.gov/Session/Bill/2019/01614,Lakes and Lagoons,Baxley,Last Action: 3/18/2019 S Now in Rules
SB 1616,https://www.flsenate.gov/Session/Bill/2019/01616,Local Government Financial Reporting,Baxley,Last Action: 4/10/2019 S Now in Rules
SB 1618,https://www.flsenate.gov/Session/Bill/2019/01618,Tobacco Products,Simmons,"Last Action: 4/3/2019 S CS by Innovation, Industry, and Technology read 1st time -SJ 318"
SB 1620,https://www.flsenate.gov/Session/Bill/2019/01620,Health Care Licensing Requirements,Gainer,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 1622,https://www.flsenate.gov/Session/Bill/2019/01622,Public Records/Foster Parent and Foster Parent Applicant Names,Montford,Last Action: 4/10/2019 S Now in Rules
SB 1624,https://www.flsenate.gov/Session/Bill/2019/01624,TANF Pay-After-Performance Program,Baxley,Last Action: 3/13/2019 S Introduced -SJ 210
SB 1626,https://www.flsenate.gov/Session/Bill/2019/01626,Protecting the Public Security,Farmer,Last Action: 3/13/2019 S Introduced -SJ 210
SB 1628,https://www.flsenate.gov/Session/Bill/2019/01628,Out-of-school and In-school Suspension,Cruz,Last Action: 3/13/2019 S Introduced -SJ 210
SB 1630,https://www.flsenate.gov/Session/Bill/2019/01630,Venue for Constitutional Challenges,Stargel,Last Action: 4/2/2019 S Now in Appropriations Subcommittee on Criminal and Civil Justice
SB 1632,https://www.flsenate.gov/Session/Bill/2019/01632,Mortgage Lending,Taddeo,"Last Action: 4/1/2019 S On Committee agenda-- Banking and Insurance, 04/01/19, 4:00 pm, 412 Knott Building --Temporarily Postponed"
SB 1634,https://www.flsenate.gov/Session/Bill/2019/01634,Public Assistance,Baxley,Last Action: 3/13/2019 S Introduced -SJ 211
SB 1636,https://www.flsenate.gov/Session/Bill/2019/01636,Workers’ Compensation,Perry,"Last Action: 4/1/2019 S On Committee agenda-- Banking and Insurance, 04/01/19, 4:00 pm, 412 Knott Building --Temporarily Postponed"
SB 1638,https://www.flsenate.gov/Session/Bill/2019/01638,Commercial Motor Vehicles,Lee,Last Action: 4/9/2019 S Now in Rules
SB 1640,https://www.flsenate.gov/Session/Bill/2019/01640,Deregulation of Professions and Occupations,Albritton,Last Action: 4/10/2019 S CS/CS by Commerce and Tourism read 1st time -SJ 346
SB 1642,https://www.flsenate.gov/Session/Bill/2019/01642,Sales Tax on Commercial Real Property Rentals,Gainer,Last Action: 3/13/2019 S Introduced -SJ 213
SB 1644,https://www.flsenate.gov/Session/Bill/2019/01644,Instructional Personnel and Educational Support Employee Salaries,Powell,Last Action: 3/13/2019 S Introduced -SJ 213
SB 1646,https://www.flsenate.gov/Session/Bill/2019/01646,Department of Agriculture and Consumer Services,Albritton,Last Action: 4/10/2019 S Now in Appropriations
SB 1648,https://www.flsenate.gov/Session/Bill/2019/01648,Florida Building Code,Albritton,Last Action: 3/13/2019 S Introduced -SJ 213
SB 1650,https://www.flsenate.gov/Session/Bill/2019/01650,Child Welfare,Albritton,"Last Action: 4/10/2019 S CS/CS by Children, Families, and Elder Affairs read 1st time -SJ 347"
SB 1652,https://www.flsenate.gov/Session/Bill/2019/01652,"Consumer Fraud, Identity Theft, and Skimmer Working Group",Gruters,Last Action: 3/21/2019 S CS by Commerce and Tourism read 1st time -SJ 263
SB 1654,https://www.flsenate.gov/Session/Bill/2019/01654,Specialty License Plates,Braynon,"Last Action: 4/2/2019 S On Committee agenda-- Infrastructure and Security, 04/02/19, 2:00 pm, 110 Senate Building --Temporarily Postponed"
SB 1656,https://www.flsenate.gov/Session/Bill/2019/01656,Criminal Statutes,Lee,Last Action: 4/3/2019 S CS by Criminal Justice read 1st time -SJ 319
SB 1658,https://www.flsenate.gov/Session/Bill/2019/01658,Statewide Task Force on Opioid Drug Abuse,Simpson,"Last Action: 4/4/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/04/19, 10:00 am, 37 Senate Building --Temporarily Postponed"
SM 1660,https://www.flsenate.gov/Session/Bill/2019/01660,Temporary Protected Status to Venezuelans,Flores,Last Action: 3/13/2019 S Introduced -SJ 214
SB 1662,https://www.flsenate.gov/Session/Bill/2019/01662,Preemption of Firearms and Ammunition,Taddeo,Last Action: 3/13/2019 S Introduced -SJ 214
SB 1664,https://www.flsenate.gov/Session/Bill/2019/01664,Sensory Deprivation Tanks,Torres,Last Action: 3/13/2019 S Introduced -SJ 214
SB 1666,https://www.flsenate.gov/Session/Bill/2019/01666,Vessels,Flores,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 1668,https://www.flsenate.gov/Session/Bill/2019/01668,School Choice,Hutson,Last Action: 3/13/2019 S Introduced -SJ 214
SB 1670,https://www.flsenate.gov/Session/Bill/2019/01670,Administrative Procedures,Mayfield,Last Action: 3/13/2019 S Introduced -SJ 215
SB 1672,https://www.flsenate.gov/Session/Bill/2019/01672,Legislative Review of Proposed Regulation of Unregulated Functions,Perry,Last Action: 3/13/2019 S Introduced -SJ 215
SB 1674,https://www.flsenate.gov/Session/Bill/2019/01674,Registration Data,Diaz,Last Action: 3/13/2019 S Introduced -SJ 215
SB 1676,https://www.flsenate.gov/Session/Bill/2019/01676,Legal Notices,Baxley,Last Action: 3/13/2019 S Introduced -SJ 215
SB 1678,https://www.flsenate.gov/Session/Bill/2019/01678,Trust Funds/Marjory Stoneman Douglas High School Victim Trust Fund,Book,Last Action: 3/13/2019 S Introduced -SJ 216
SB 1680,https://www.flsenate.gov/Session/Bill/2019/01680,Marjory Stoneman Douglas High School Victim Family Compensation Fund Program,Book,Last Action: 3/13/2019 S Introduced -SJ 216
SB 1682,https://www.flsenate.gov/Session/Bill/2019/01682,Marjory Stoneman Douglas High School Victim Compensation Fund Program,Book,Last Action: 3/13/2019 S Introduced -SJ 216
SB 1684,https://www.flsenate.gov/Session/Bill/2019/01684,Educator Certification Requirements,Broxson,Last Action: 3/13/2019 S Introduced -SJ 216
SB 1686,https://www.flsenate.gov/Session/Bill/2019/01686,Specialty License Plates/Blue Angels,Broxson,Last Action: 3/13/2019 S Introduced -SJ 216
SB 1688,https://www.flsenate.gov/Session/Bill/2019/01688,Transportation Facility Designations/Maceo Perkins Parkway,Broxson,Last Action: 3/13/2019 S Introduced -SJ 216
SB 1690,https://www.flsenate.gov/Session/Bill/2019/01690,Warranty Associations,Broxson,Last Action: 4/9/2019 S Now in Rules
SB 1692,https://www.flsenate.gov/Session/Bill/2019/01692,Corporate Income Tax,Rodriguez,Last Action: 3/26/2019 S Laid on Table
SB 1694,https://www.flsenate.gov/Session/Bill/2019/01694,Takings Claims Within Areas of Critical State Concern,Flores,Last Action: 4/9/2019 S Now in Appropriations
SB 1696,https://www.flsenate.gov/Session/Bill/2019/01696,Youth Athletic Activity,Broxson,Last Action: 3/13/2019 S Introduced -SJ 217
SJR 1698,https://www.flsenate.gov/Session/Bill/2019/01698,Legislative Preemption,Berman,Last Action: 3/13/2019 S Introduced -SJ 217
SB 1700,https://www.flsenate.gov/Session/Bill/2019/01700,Prescribed Controlled Substances,Lee,Last Action: 4/9/2019 S Now in Rules
SB 1702,https://www.flsenate.gov/Session/Bill/2019/01702,Ethics Reform,Baxley,"Last Action: 3/26/2019 S On Committee agenda-- Ethics and Elections, 03/26/19, 4:00 pm, 412 Knott Building --Amendment(s) Adopted - Temporarily Postponed"
SB 1704,https://www.flsenate.gov/Session/Bill/2019/01704,Department of Financial Services,Wright,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SR 1706,https://www.flsenate.gov/Session/Bill/2019/01706,Puerto Ricans’ United States Citizenship Day,Torres,Last Action: 3/1/2019 S Filed
SB 1708,https://www.flsenate.gov/Session/Bill/2019/01708,Tourist Development Councils,Rouson,Last Action: 4/3/2019 S Now in Rules
SB 1710,https://www.flsenate.gov/Session/Bill/2019/01710,Legal and Official Advertisements,Diaz,Last Action: 3/13/2019 S Introduced -SJ 218
SB 1712,https://www.flsenate.gov/Session/Bill/2019/01712,Hospital Licensure,Harrell,Last Action: 4/11/2019 S Now in Appropriations
SB 1714,https://www.flsenate.gov/Session/Bill/2019/01714,Cannabis,Bracy,Last Action: 3/13/2019 S Introduced -SJ 218
SB 1716,https://www.flsenate.gov/Session/Bill/2019/01716,Fertilizers,Bracy,Last Action: 3/13/2019 S Introduced -SJ 219
SB 1718,https://www.flsenate.gov/Session/Bill/2019/01718,Sale and Delivery of Firearms,Taddeo,Last Action: 3/13/2019 S Introduced -SJ 219
SB 1720,https://www.flsenate.gov/Session/Bill/2019/01720,Property Rights,Lee,"Last Action: 4/8/2019 S On Committee agenda-- Judiciary, 04/08/19, 4:00 pm, 110 Senate Building --Not Considered"
SB 1722,https://www.flsenate.gov/Session/Bill/2019/01722,Social Media Websites,Gruters,Last Action: 3/13/2019 S Introduced -SJ 219
SB 1724,https://www.flsenate.gov/Session/Bill/2019/01724,Student Discipline,Powell,Last Action: 3/13/2019 S Introduced -SJ 219
SB 1726,https://www.flsenate.gov/Session/Bill/2019/01726,Parental Rights,Gruters,Last Action: 4/12/2019 S Now in Judiciary
SB 1728,https://www.flsenate.gov/Session/Bill/2019/01728,Determination of Identity or Residency,Gruters,Last Action: 3/13/2019 S Introduced -SJ 220
SB 1730,https://www.flsenate.gov/Session/Bill/2019/01730,Community Development and Housing,Lee,Last Action: 4/11/2019 S Now in Rules
SB 1732,https://www.flsenate.gov/Session/Bill/2019/01732,Community Association Safety Systems,Farmer,Last Action: 3/13/2019 S Introduced -SJ 220
SM 1734,https://www.flsenate.gov/Session/Bill/2019/01734,Income Inequality,Farmer,Last Action: 3/13/2019 S Introduced -SJ 220
SB 1736,https://www.flsenate.gov/Session/Bill/2019/01736,Student Elopement,Book,Last Action: 3/13/2019 S Introduced -SJ 220
SB 1738,https://www.flsenate.gov/Session/Bill/2019/01738,Animal Welfare,Gruters,Last Action: 3/21/2019 S CS by Agriculture read 1st time -SJ 262
SB 1740,https://www.flsenate.gov/Session/Bill/2019/01740,Scholarship Programs,Farmer,Last Action: 3/13/2019 S Introduced -SJ 221
SB 1742,https://www.flsenate.gov/Session/Bill/2019/01742,Correctional Facility Employees,Gainer,"Last Action: 3/25/2019 S On Committee agenda-- Judiciary, 03/25/19, 4:00 pm, 110 Senate Building --Temporarily Postponed"
SB 1744,https://www.flsenate.gov/Session/Bill/2019/01744,Higher Education,Baxley,Last Action: 3/13/2019 S Introduced -SJ 221
SB 1746,https://www.flsenate.gov/Session/Bill/2019/01746,Sales Tax Exemption for Hurricane Shutters,Taddeo,Last Action: 3/13/2019 S Introduced -SJ 221
SB 1748,https://www.flsenate.gov/Session/Bill/2019/01748,Preemption of Local Regulations,Perry,Last Action: 3/13/2019 S Introduced -SJ 221
SB 1750,https://www.flsenate.gov/Session/Bill/2019/01750,Entertainment Industry Financial Incentive Program,Taddeo,Last Action: 3/13/2019 S Introduced -SJ 222
SB 1752,https://www.flsenate.gov/Session/Bill/2019/01752,Inspections and Permits,Perry,"Last Action: 4/11/2019 S Now in Innovation, Industry, and Technology"
SB 1754,https://www.flsenate.gov/Session/Bill/2019/01754,Pest Control,Rodriguez,Last Action: 3/13/2019 S Introduced -SJ 222
SB 1756,https://www.flsenate.gov/Session/Bill/2019/01756,Protection of Property Subject to Bankruptcy or Other Proceedings,Berman,Last Action: 3/13/2019 S Introduced -SJ 222
